GDP2020Rank	GDP2000Rank	GDP1980Rank	GDP1960Rank	Country Name	AverageRank
1	1	1	1	United States	1
3	2	2	5	Japan	3
5	4	5	2	United Kingdom	4
7	5	4	3	France	4
2	6	12	4	China	6
9	8	7	6	Canada	7
8	7	6	7	Italy	7
6	13	13	8	India	10
12	10	8	10	Brazil	10
15	9	10	13	Mexico	11
14	11	9	15	Spain	12
13	15	15	9	Australia	13
17	14	11	14	Netherlands	14
22	19	16	11	Sweden	17
18	17	18	17	Switzerland	17
19	18	25	12	Turkey	18
23	21	17	16	Belgium	19
10	12	26	31	Korea, Rep.	19
25	22	21	21	Austria	22
38	29	20	19	South Africa	26
31	26	27	24	Norway	27
49	36	19	27	Iran, Islamic Rep.	32
26	47	28	28	Nigeria	32
32	43	35	20	Philippines	32
42	33	31	23	Finland	32
24	32	38	35	Thailand	32
51	31	30	25	Greece	34
40	39	36	30	Colombia	36
35	25	40	45	Hong Kong SAR, China	36
27	38	45	41	Ireland	37
47	34	37	34	Portugal	38
44	46	39	29	Chile	39
43	44	43	32	Pakistan	40
37	42	42	42	Malaysia	40
39	51	50	26	Bangladesh	41
48	52	44	22	New Zealand	41
56	50	34	36	Algeria	44
36	41	56	55	Singapore	47
50	53	51	38	Peru	48
58	56	46	40	Morocco	50
63	49	53	43	Puerto Rico	52
4	3	3	217	Germany	56
65	73	52	39	Ecuador	57
86	72	54	33	Congo, Dem. Rep.	61
69	71	60	50	Guatemala	62
83	65	58	47	Uruguay	63
68	64	64	59	Dominican Republic	63
71	68	68	56	Luxembourg	65
64	84	63	53	Kenya	66
66	78	80	44	Sri Lanka	67
20	23	14	213	Saudi Arabia	67
76	77	57	62	Cote d'Ivoire	68
196	35	29	18	Venezuela, RB	69
29	16	22	214	Argentina	70
16	27	23	215	Indonesia	70
75	79	73	67	Costa Rica	73
109	86	62	46	Sudan	75
34	28	24	216	Denmark	75
90	89	66	61	Cameroon	76
82	85	74	64	Panama	76
28	30	216	37	Israel	77
33	37	33	212	United Arab Emirates	78
73	121	78	48	Ghana	80
30	40	47	208	Egypt, Arab Rep.	81
92	98	75	70	Bolivia	83
114	108	65	49	Zimbabwe	84
103	111	76	51	Senegal	85
108	100	67	65	Trinidad and Tobago	85
197	45	55	52	Syrian Arab Republic	87
53	54	32	211	Iraq	87
106	103	81	71	Honduras	90
107	94	86	76	Iceland	90
11	20	217	116	Russian Federation	91
127	95	88	57	Jamaica	91
61	58	41	207	Kuwait	91
91	110	105	69	Uganda	93
96	117	94	66	Nepal	93
113	129	83	54	Zambia	94
60	62	48	209	Cuba	94
130	123	71	58	Madagascar	95
102	130	89	77	Papua New Guinea	99
67	105	116	109	Myanmar	99
57	75	61	205	Qatar	99
21	24	215	147	Poland	101
125	106	99	75	Haiti	101
121	120	79	85	Gabon	101
70	70	69	203	Oman	103
72	82	49	210	Bulgaria	103
89	67	59	206	Tunisia	105
132	119	92	79	Nicaragua	105
115	140	95	72	Burkina Faso	105
119	131	98	78	Benin	106
143	101	102	83	Bahamas, The	107
128	145	90	68	Niger	107
122	113	112	95	Botswana	110
79	92	70	204	Angola	111
46	48	214	146	Czech Republic	113
45	59	210	142	Romania	114
41	61	212	144	Vietnam	114
141	136	97	86	Congo, Rep.	115
93	96	77	196	Paraguay	115
87	97	82	197	Jordan	115
54	55	213	145	Hungary	116
55	60	211	143	Ukraine	117
52	74	205	137	Kazakhstan	117
99	128	184	60	Cambodia	117
110	217	84	63	Afghanistan	118
62	63	208	140	Slovak Republic	118
134	150	106	84	Malawi	118
104	87	85	198	El Salvador	118
94	93	87	201	Bahrain	118
140	146	103	88	Rwanda	119
